codigo_ibge,nome,codigo_uf,nome_porto,transportation_cost
2500304,Alagoa Grande,25,natal,26209.40812
2500403,Alagoa Nova,25,suape,25515.38127
2500403,Alagoa Nova,25,aratu,25264.06369
2500403,Alagoa Nova,25,natal,26261.05679
2500502,Alagoinha,25,suape,25477.93261
2500502,Alagoinha,25,aratu,25250.83942
2500502,Alagoinha,25,natal,26219.82646
2600609,Alagoinha,26,suape,25221.74715
2600609,Alagoinha,26,aratu,24807.78723
2600609,Alagoinha,26,natal,25992.96624
2200251,Alagoinha do Piauí,22,suape,27778.46124
2200251,Alagoinha do Piauí,22,aratu,27140.21759
2200251,Alagoinha do Piauí,22,natal,28577.49585
2300507,Alcântaras,23,suape,29322.18775
2300507,Alcântaras,23,aratu,28896.49613
2300507,Alcântaras,23,natal,30088.2695
2500536,Alcantil,25,suape,25283.98529
2500536,Alcantil,25,aratu,24970.51734
2500536,Alcantil,25,natal,26039.85175
2200277,Alegrete do Piauí,22,suape,27627.98312
2200277,Alegrete do Piauí,22,aratu,26980.95947
2200277,Alegrete do Piauí,22,natal,28428.43948
2400505,Alexandria,24,suape,26798.55961
2400505,Alexandria,24,aratu,26406.99509
2400505,Alexandria,24,natal,27563.55899
2500577,Algodão de Jandaíra,25,suape,25704.32196
2500577,Algodão de Jandaíra,25,aratu,25441.58823
2500577,Algodão de Jandaíra,25,natal,26451.42888
3101706,Almenara,31,suape,23465.44089
3101706,Almenara,31,aratu,22245.91749
3101706,Almenara,31,natal,24338.48548
2400604,Almino Afonso,24,suape,26823.91873
2400604,Almino Afonso,24,aratu,26465.67315
2400604,Almino Afonso,24,natal,27583.80024
2300606,Altaneira,23,suape,27248.01455
2300606,Altaneira,23,aratu,26695.19148
2300606,Altaneira,23,natal,28035.91843
2600807,Altinho,26,suape,24906.4767
2600807,Altinho,26,aratu,24548.4562
2600807,Altinho,26,natal,25669.91128
2400703,Alto do Rodrigues,24,suape,26849.76066
2400703,Alto do Rodrigues,24,aratu,26616.39107
2400703,Alto do Rodrigues,24,natal,27589.99156
2200301,Alto Longá,22,suape,29210.5458
2200301,Alto Longá,22,aratu,28580.82219
2200301,Alto Longá,22,natal,30006.39381
2300705,Alto Santo,23,suape,27368.22847
2300705,Alto Santo,23,aratu,27006.16852
2300705,Alto Santo,23,natal,28127.74787
2200400,Altos,22,suape,29430.38395
2200400,Altos,22,aratu,28795.41513
2200400,Altos,22,natal,30226.66442
2200459,Alvorada do Gurguéia,22,suape,28411.00268
2200459,Alvorada do Gurguéia,22,aratu,27497.46
2200459,Alvorada do Gurguéia,22,natal,29244.77575
2200509,Amarante,22,suape,29014.45939
2200509,Amarante,22,aratu,28287.5445
2200509,Amarante,22,natal,29823.78289
2901007,Amargosa,29,suape,24314.03479
2901007,Amargosa,29,aratu,23394.96951
2901007,Amargosa,29,natal,25153.87401
2901155,América Dourada,29,suape,25908.18873
2901155,América Dourada,29,aratu,24964.80475
2901155,América Dourada,29,natal,26748.63748
2300754,Amontada,23,suape,29132.1543
2300754,Amontada,23,aratu,28769.1931
2300754,Amontada,23,natal,29888.92983
2500734,Amparo,25,suape,25806.0322
2500734,Amparo,25,aratu,25422.82478
2500734,Amparo,25,natal,26571.55273
3501905,Amparo,35,suape,24212.56228
3501905,Amparo,35,aratu,22170.90365
3501905,Amparo,35,natal,25139.69638
2800100,Amparo de São Francisco,28,suape,24456.86485
2800100,Amparo de São Francisco,28,aratu,23929.04252
2800100,Amparo de São Francisco,28,natal,25246.00692
2901205,Anagé,29,suape,24349.79871
2901205,Anagé,29,aratu,23213.37034
2901205,Anagé,29,natal,25213.47323
2901304,Andaraí,29,suape,25240.13722
2901304,Andaraí,29,aratu,24214.80675
2901304,Andaraí,29,natal,26090.79809
2901353,Andorinha,29,suape,25667.24571
2901353,Andorinha,29,aratu,24906.28829
2901353,Andorinha,29,natal,26485.69765
2601003,Angelim,26,suape,24800.25266
2601003,Angelim,26,aratu,24400.36136
2601003,Angelim,26,natal,25570.18929
2901403,Angical,29,suape,27239.49612
2901403,Angical,29,aratu,26048.49846
2901403,Angical,29,natal,28105.53184
2200608,Angical do Piauí,22,suape,29042.69267
2200608,Angical do Piauí,22,aratu,28331.35074
2200608,Angical do Piauí,22,natal,29849.90138
2400802,Angicos,24,suape,26595.00928
2400802,Angicos,24,aratu,26352.54956
2400802,Angicos,24,natal,27337.17571
2901502,Anguera,29,suape,24547.94696
2901502,Anguera,29,aratu,23713.75635
2901502,Anguera,29,natal,25377.28273
2200707,Anísio de Abreu,22,suape,27712.89422
2200707,Anísio de Abreu,22,aratu,26801.67345
2200707,Anísio de Abreu,22,natal,28547.22678
2901601,Antas,29,suape,24963.64945
2901601,Antas,29,aratu,24311.31395
2901601,Antas,29,natal,25769.00415
2300804,Antonina do Norte,23,suape,27473.01469
2300804,Antonina do Norte,23,aratu,26914.99735
2300804,Antonina do Norte,23,natal,28261.30605
2901700,Antônio Cardoso,29,suape,24354.55883
2901700,Antônio Cardoso,29,aratu,23510.56908
2901700,Antônio Cardoso,29,natal,25185.38992
2901809,Antônio Gonçalves,29,suape,25763.09518
2901809,Antônio Gonçalves,29,aratu,24956.15374
2901809,Antônio Gonçalves,29,natal,26587.22643
2400901,Antônio Martins,24,suape,26840.82903
2400901,Antônio Martins,24,aratu,26469.81289
2400901,Antônio Martins,24,natal,27602.63328
2500775,Aparecida,25,suape,26633.77536
2500775,Aparecida,25,aratu,26215.98984
2500775,Aparecida,25,natal,27403.00554
3502507,Aparecida,35,suape,23339.17564
3502507,Aparecida,35,aratu,21355.45833
3502507,Aparecida,35,natal,24264.56587
2401008,Apodi,24,suape,27091.22017
2401008,Apodi,24,aratu,26757.58032
2401008,Apodi,24,natal,27846.83796
2300903,Apuiarés,23,suape,28664.55233
2300903,Apuiarés,23,aratu,28299.71287
2300903,Apuiarés,23,natal,29422.35629
2800209,Aquidabã,28,suape,24421.71212
2800209,Aquidabã,28,aratu,23878.59867
2800209,Aquidabã,28,natal,25213.06804
2500809,Araçagi,25,suape,25466.17355
2500809,Araçagi,25,aratu,25257.71629
2500809,Araçagi,25,natal,26205.1006
2301109,Aracati,23,suape,27648.33377
2301109,Aracati,23,aratu,27375.01169
2301109,Aracati,23,natal,28393.50449
2902005,Aracatu,29,suape,24592.64545
2902005,Aracatu,29,aratu,23447.31312
2902005,Aracatu,29,natal,25456.93549
2902104,Araci,29,suape,24798.0787
2902104,Araci,29,aratu,24039.13609
2902104,Araci,29,natal,25617.62907
2601052,Araçoiaba,26,suape,24854.63931
2601052,Araçoiaba,26,aratu,24617.41202
2601052,Araçoiaba,26,natal,25599.43419
2301208,Aracoiaba,23,suape,28183.01074
2301208,Aracoiaba,23,aratu,27841.62463
2301208,Aracoiaba,23,natal,28937.96621
3103405,Araçuaí,31,suape,23875.79664
3103405,Araçuaí,31,aratu,22517.94257
3103405,Araçuaí,31,natal,24761.09326
2100907,Araioses,21,suape,30260.00416
2100907,Araioses,21,aratu,29775.9551
2100907,Araioses,21,natal,31033.4725
2700300,Arapiraca,27,suape,24524.66233
2700300,Arapiraca,27,aratu,24042.16607
2700300,Arapiraca,27,natal,25307.22325
2500908,Arara,25,suape,25631.32801
2500908,Arara,25,aratu,25392.87501
2500908,Arara,25,natal,26374.72659
2301257,Ararendá,23,suape,28855.92863
2301257,Ararendá,23,aratu,28349.16632
2301257,Ararendá,23,natal,29634.75399
2301307,Araripe,23,suape,27319.30935
2301307,Araripe,23,aratu,26725.26761
2301307,Araripe,23,natal,28112.90708
2601102,Araripina,26,suape,27304.02103
2601102,Araripina,26,aratu,26663.73227
2601102,Araripina,26,natal,28104.03345
4101705,Araruna,41,suape,26938.23613
4101705,Araruna,41,aratu,24596.95566
4101705,Araruna,41,natal,27870.44639
2501005,Araruna,25,suape,25775.21335
2501005,Araruna,25,aratu,25552.61015
2501005,Araruna,25,natal,26515.78967
2301406,Aratuba,23,suape,28259.4647
2301406,Aratuba,23,aratu,27898.54329
2301406,Aratuba,23,natal,29017.31841
2601201,Arcoverde,26,suape,25368.02912
2601201,Arcoverde,26,aratu,24935.14459
2601201,Arcoverde,26,natal,26141.77571
2501104,Areia,25,suape,25536.74172
2501104,Areia,25,aratu,25295.38212
2501104,Areia,25,natal,26280.79281
2401107,Areia Branca,24,suape,27176.67978
2401107,Areia Branca,24,aratu,26931.68753
2401107,Areia Branca,24,natal,27918.17267
2800506,Areia Branca,28,suape,24325.52828
2800506,Areia Branca,28,aratu,23727.58563
2800506,Areia Branca,28,natal,25124.64421
2501153,Areia de Baraúnas,25,suape,25977.77064
2501153,Areia de Baraúnas,25,aratu,25629.07152
2501153,Areia de Baraúnas,25,natal,26737.72609
2501203,Areial,25,suape,25589.90894
2501203,Areial,25,aratu,25325.06901
2501203,Areial,25,natal,26337.57452
2301505,Arneiroz,23,suape,27777.00596
2301505,Arneiroz,23,aratu,27231.61541
2301505,Arneiroz,23,natal,28563.03234
2200905,Aroazes,22,suape,28598.77926
2200905,Aroazes,22,aratu,27951.27067
2200905,Aroazes,22,natal,29397.92356
2501302,Aroeiras,25,suape,25238.70979
2501302,Aroeiras,25,aratu,24963.98157
2501302,Aroeiras,25,natal,25988.63318
2200954,Aroeiras do Itaim,22,suape,27932.08591
2200954,Aroeiras do Itaim,22,aratu,27237.64971
2200954,Aroeiras do Itaim,22,natal,28738.5269
2201002,Arraial,22,suape,28679.55934
2201002,Arraial,22,aratu,27949.99779
2201002,Arraial,22,natal,29489.67081
2301604,Assaré,23,suape,27372.25414
2301604,Assaré,23,aratu,26817.23589
2301604,Assaré,23,natal,28160.27586
2501351,Assunção,25,suape,25909.66928
2501351,Assunção,25,aratu,25580.39104
2501351,Assunção,25,natal,26666.7682
2201051,Assunção do Piauí,22,suape,28387.87221
2201051,Assunção do Piauí,22,aratu,27805.60005
2201051,Assunção do Piauí,22,natal,29178.22742
2301703,Aurora,23,suape,26945.9201
2301703,Aurora,23,aratu,26452.67924
2301703,Aurora,23,natal,27725.7484
4201901,Aurora,42,suape,24421.18835
4201901,Aurora,42,aratu,21949.69822
4201901,Aurora,42,natal,25352.35349
2201101,Avelino Lopes,22,suape,27709.72882
2201101,Avelino Lopes,22,aratu,26682.03971
2201101,Avelino Lopes,22,natal,28557.67703
2902500,Baianópolis,29,suape,27031.09508
2902500,Baianópolis,29,aratu,25831.19992
2902500,Baianópolis,29,natal,27898.24601
2902609,Baixa Grande,29,suape,25072.122
2902609,Baixa Grande,29,aratu,24184.20308
2902609,Baixa Grande,29,natal,25907.17104
2301802,Baixio,23,suape,26940.09804
2301802,Baixio,23,aratu,26478.35137
2301802,Baixio,23,natal,27715.32946
2301851,Banabuiú,23,suape,27744.66178
2301851,Banabuiú,23,aratu,27346.06753
2301851,Banabuiú,23,natal,28509.12181
2501500,Bananeiras,25,suape,25619.47747
2501500,Bananeiras,25,aratu,25395.99608
2501500,Bananeiras,25,natal,26360.50693
3105202,Bandeira,31,suape,23526.28431
3105202,Bandeira,31,aratu,22337.71417
3105202,Bandeira,31,natal,24396.23754
2902658,Banzaê,29,suape,24998.44535
2902658,Banzaê,29,aratu,24312.66594
2902658,Banzaê,29,natal,25808.18766
2401453,Baraúna,24,suape,27317.49185
2401453,Baraúna,24,aratu,27028.97649
2401453,Baraúna,24,natal,28065.65305
2501534,Baraúna,25,suape,25941.14755
2501534,Baraúna,25,aratu,25673.02525
2501534,Baraúna,25,natal,26688.64273
2301901,Barbalha,23,suape,26907.58791
2301901,Barbalha,23,aratu,26369.31531
2301901,Barbalha,23,natal,27693.96161
2401503,Barcelona,24,suape,26164.52799
2401503,Barcelona,24,aratu,25960.82716
2401503,Barcelona,24,natal,26901.28617
2902708,Barra,29,suape,26888.75335
2902708,Barra,29,aratu,25854.22096
2902708,Barra,29,natal,27738.41363
2201176,Barra D'Alcântara,22,suape,28550.31814
2201176,Barra D'Alcântara,22,aratu,27857.29599
2201176,Barra D'Alcântara,22,natal,29355.72047
2902807,Barra da Estiva,29,suape,24879.5555
2902807,Barra da Estiva,29,aratu,23798.50233
2902807,Barra da Estiva,29,natal,25736.75295
2501609,Barra de Santa Rosa,25,suape,25817.69505
2501609,Barra de Santa Rosa,25,aratu,25560.32891
2501609,Barra de Santa Rosa,25,natal,26563.72984
2501575,Barra de Santana,25,suape,25371.51186
2501575,Barra de Santana,25,aratu,25075.33378
2501575,Barra de Santana,25,natal,26124.52242
2501708,Barra de São Miguel,25,suape,25393.02686
2501708,Barra de São Miguel,25,aratu,25057.42528
2501708,Barra de São Miguel,25,natal,26152.08813
2700607,Barra de São Miguel,27,suape,24153.64014
2700607,Barra de São Miguel,27,aratu,23726.82156
2700607,Barra de São Miguel,27,natal,24928.84027
2902906,Barra do Choça,29,suape,23968.12968
2902906,Barra do Choça,29,aratu,22851.68015
2902906,Barra do Choça,29,natal,24830.22512
2903003,Barra do Mendes,29,suape,26038.41973
2903003,Barra do Mendes,29,aratu,25029.34881
2903003,Barra do Mendes,29,natal,26886.2457
2201200,Barras,22,suape,29748.87786
2201200,Barras,22,aratu,29167.93198
2201200,Barras,22,natal,30537.13521
2301950,Barreira,23,suape,28152.92685
2301950,Barreira,23,aratu,27828.22595
2301950,Barreira,23,natal,28905.33238
2903201,Barreiras,29,suape,27326.2881
2903201,Barreiras,29,aratu,26108.46578
2903201,Barreiras,29,natal,28194.9543
2302008,Barro,23,suape,26738.98649
2302008,Barro,23,aratu,26247.05781
2302008,Barro,23,natal,27518.9664
2903235,Barro Alto,29,suape,25986.91598
2903235,Barro Alto,29,aratu,24991.35972
2903235,Barro Alto,29,natal,26833.27636
5203203,Barro Alto,52,suape,28145.04275
5203203,Barro Alto,52,aratu,26529.37158
5203203,Barro Alto,52,natal,29047.64625
2903276,Barrocas,29,suape,24758.23777
2903276,Barrocas,29,aratu,23977.30758
2903276,Barrocas,29,natal,25580.63427
2302057,Barroquinha,23,suape,29862.61314
2302057,Barroquinha,23,aratu,29424.8618
2302057,Barroquinha,23,natal,30629.71838
2201507,Batalha,22,suape,29765.73661
2201507,Batalha,22,aratu,29211.06341
2201507,Batalha,22,natal,30550.21154
2700706,Batalha,27,suape,24771.90031
2700706,Batalha,27,aratu,24257.11058
2700706,Batalha,27,natal,25558.61217
2302107,Baturité,23,suape,28234.00841
2302107,Baturité,23,aratu,27889.80256
2302107,Baturité,23,natal,28989.3175
2302206,Beberibe,23,suape,27995.9668
2302206,Beberibe,23,aratu,27715.45905
2302206,Beberibe,23,natal,28741.67548
2302305,Bela Cruz,23,suape,29435.08069
2302305,Bela Cruz,23,aratu,29063.84213
2302305,Bela Cruz,23,natal,30192.66786
2201556,Bela Vista do Piauí,22,suape,27726.91363
2201556,Bela Vista do Piauí,22,aratu,26966.30981
2201556,Bela Vista do Piauí,22,natal,28542.36819
1501402,Belém,15,suape,33918.87197
1501402,Belém,15,aratu,33091.35869
1501402,Belém,15,natal,34735.9242
2501906,Belém,25,suape,25577.7794
2501906,Belém,25,aratu,25363.31068
2501906,Belém,25,natal,26317.44641
2700805,Belém,27,suape,24541.87266
2700805,Belém,27,aratu,24084.37826
2700805,Belém,27,natal,25320.7871
2502003,Belém do Brejo do Cruz,25,suape,26707.77942
2502003,Belém do Brejo do Cruz,25,aratu,26364.96523
2502003,Belém do Brejo do Cruz,25,natal,27465.49626
2201572,Belém do Piauí,22,suape,27617.7295
2201572,Belém do Piauí,22,aratu,26955.63912
2201572,Belém do Piauí,22,natal,28420.25303
2601607,Belém do São Francisco,26,suape,26039.31593
2601607,Belém do São Francisco,26,aratu,25440.94903
2601607,Belém do São Francisco,26,natal,26835.53671
2903508,Belo Campo,29,suape,24233.93492
2903508,Belo Campo,29,aratu,23059.25868
2903508,Belo Campo,29,natal,25101.63587
2601706,Belo Jardim,26,suape,25138.7983
2601706,Belo Jardim,26,aratu,24760.82909
2601706,Belo Jardim,26,natal,25904.79249
2700904,Belo Monte,27,suape,24762.11981
2700904,Belo Monte,27,aratu,24226.86374
2700904,Belo Monte,27,natal,25551.74449
2201606,Beneditinos,22,suape,29181.00133
2201606,Beneditinos,22,aratu,28529.86475
2201606,Beneditinos,22,natal,29979.85112
2401602,Bento Fernandes,24,suape,26247.35695
2401602,Bento Fernandes,24,aratu,26065.61287
2401602,Bento Fernandes,24,natal,26980.38184
3106507,Berilo,31,suape,24035.11492
3106507,Berilo,31,aratu,22644.93744
3106507,Berilo,31,natal,24923.04154
3106655,Berizal,31,suape,24227.30936
3106655,Berizal,31,aratu,22980.09006
3106655,Berizal,31,natal,25102.11292
2502052,Bernardino Batista,25,suape,27008.78531
2502052,Bernardino Batista,25,aratu,26574.43319
2502052,Bernardino Batista,25,natal,27779.84567
2201705,Bertolínia,22,suape,28862.62121
2201705,Bertolínia,22,aratu,27983.91969
2201705,Bertolínia,22,natal,29691.60103
2601805,Betânia,26,suape,25867.2122
2601805,Betânia,26,aratu,25367.46852
2601805,Betânia,26,natal,26649.80673
2201739,Betânia do Piauí,22,suape,27163.18994
2201739,Betânia do Piauí,22,aratu,26467.79064
2201739,Betânia do Piauí,22,natal,27970.85374
2601904,Bezerros,26,suape,24921.57296
2601904,Bezerros,26,aratu,24600.01523
2601904,Bezerros,26,natal,25679.40968
2903607,Biritinga,29,suape,24594.26584
2903607,Biritinga,29,aratu,23828.29853
2903607,Biritinga,29,natal,25415.03575
2201770,Boa Hora,22,suape,29595.25444
2201770,Boa Hora,22,aratu,29015.9345
2201770,Boa Hora,22,natal,30383.4898
2903706,Boa Nova,29,suape,24006.52523
2903706,Boa Nova,29,aratu,22951.68301
2903706,Boa Nova,29,natal,24862.05219
2502102,Boa Ventura,25,suape,26374.34458
2502102,Boa Ventura,25,aratu,25911.09634
2502102,Boa Ventura,25,natal,27150.75675
2302404,Boa Viagem,23,suape,28194.47983
2302404,Boa Viagem,23,aratu,27746.26785
2302404,Boa Viagem,23,natal,28965.67406
1400100,Boa Vista,14,suape,41732.45216
1400100,Boa Vista,14,aratu,40478.94761
1400100,Boa Vista,14,natal,42594.42654
2502151,Boa Vista,25,suape,25605.29915
2502151,Boa Vista,25,aratu,25303.98028
2502151,Boa Vista,25,natal,26358.65067
2903805,Boa Vista do Tupim,29,suape,24961.93208
2903805,Boa Vista do Tupim,29,aratu,23996.8175
2903805,Boa Vista do Tupim,29,natal,25806.17264
2201804,Bocaina,22,suape,27982.35611
2201804,Bocaina,22,aratu,27320.27187
2201804,Bocaina,22,natal,28784.35701
3506805,Bocaina,35,suape,25341.79757
3506805,Bocaina,35,aratu,23266.77655
3506805,Bocaina,35,natal,26269.68831
2401651,Bodó,24,suape,26347.0403
2401651,Bodó,24,aratu,26102.33893
2401651,Bodó,24,natal,27090.03593
2602001,Bodocó,26,suape,26951.28766
2602001,Bodocó,26,aratu,26339.19012
2602001,Bodocó,26,natal,27747.95792
2602100,Bom Conselho,26,suape,24827.74374
2602100,Bom Conselho,26,aratu,24379.13502
2602100,Bom Conselho,26,natal,25604.81531
3300506,Bom Jardim,33,suape,22072.52806
3300506,Bom Jardim,33,aratu,20281.96713
3300506,Bom Jardim,33,natal,22989.82318
2602209,Bom Jardim,26,suape,25054.69202
2602209,Bom Jardim,26,aratu,24775.98418
2602209,Bom Jardim,26,natal,25805.61172
2102002,Bom Jardim,21,suape,31585.81699
2102002,Bom Jardim,21,aratu,30826.16075
2102002,Bom Jardim,21,natal,32396.39129
4202537,Bom Jesus,42,suape,26081.03581
4202537,Bom Jesus,42,aratu,23567.27385
4202537,Bom Jesus,42,natal,27011.5669
4302303,Bom Jesus,43,suape,24514.92569
4302303,Bom Jesus,43,aratu,21930.48765
4302303,Bom Jesus,43,natal,25443.23863
2201903,Bom Jesus,22,suape,28388.20904
2201903,Bom Jesus,22,aratu,27399.02203
2201903,Bom Jesus,22,natal,29230.97992
2401701,Bom Jesus,24,suape,26000.73508
2401701,Bom Jesus,24,aratu,25822.33923
2401701,Bom Jesus,24,natal,26733.70424
2502201,Bom Jesus,25,suape,26861.86314
2502201,Bom Jesus,25,aratu,26399.75899
2502201,Bom Jesus,25,natal,27637.27815
2903904,Bom Jesus da Lapa,29,suape,26061.81609
2903904,Bom Jesus da Lapa,29,aratu,24870.40561
2903904,Bom Jesus da Lapa,29,natal,26929.11702
2903953,Bom Jesus da Serra,29,suape,24152.81289
2903953,Bom Jesus da Serra,29,aratu,23076.2946
2903953,Bom Jesus da Serra,29,natal,25010.46664
2201919,Bom Princípio do Piauí,22,suape,29990.53702
2201919,Bom Princípio do Piauí,22,aratu,29508.91717
2201919,Bom Princípio do Piauí,22,natal,30764.02301
3108008,Bom Sucesso,31,suape,23695.71598
3108008,Bom Sucesso,31,aratu,21872.78716
3108008,Bom Sucesso,31,natal,24613.77806
4103206,Bom Sucesso,41,suape,26606.17798
4103206,Bom Sucesso,41,aratu,24303.89486
4103206,Bom Sucesso,41,natal,27538.21998
2502300,Bom Sucesso,25,suape,26741.20543
2502300,Bom Sucesso,25,aratu,26354.5145
2502300,Bom Sucesso,25,natal,27505.56726
2201929,Bonfim do Piauí,22,suape,27647.70799
2201929,Bonfim do Piauí,22,aratu,26748.77561
2201929,Bonfim do Piauí,22,natal,28480.63532
2904001,Boninal,29,suape,25525.32709
2904001,Boninal,29,aratu,24472.86528
2904001,Boninal,29,natal,26378.61817
2602308,Bonito,26,suape,24770.94245
2602308,Bonito,26,aratu,24440.83759
2602308,Bonito,26,natal,25530.39494
2904050,Bonito,29,suape,25586.35272
2904050,Bonito,29,aratu,24620.90896
2904050,Bonito,29,natal,26429.78729
1501600,Bonito,15,suape,33418.97594
1501600,Bonito,15,aratu,32666.08672
1501600,Bonito,15,natal,34226.65545
5002209,Bonito,50,suape,29982.62497
5002209,Bonito,50,aratu,27677.17485
5002209,Bonito,50,natal,30914.5439
3108255,Bonito de Minas,31,suape,25864.78061
3108255,Bonito de Minas,31,aratu,24452.36059
3108255,Bonito de Minas,31,natal,26752.9153
2502409,Bonito de Santa Fé,25,suape,26554.20104
2502409,Bonito de Santa Fé,25,aratu,26073.69868
2502409,Bonito de Santa Fé,25,natal,27332.82852
2502508,Boqueirão,25,suape,25446.11383
2502508,Boqueirão,25,aratu,25140.50751
2502508,Boqueirão,25,natal,26200.44306
2201945,Boqueirão do Piauí,22,suape,29555.08292
2201945,Boqueirão do Piauí,22,aratu,28973.1363
2201945,Boqueirão do Piauí,22,natal,30343.74678
2904100,Boquira,29,suape,25915.49562
2904100,Boquira,29,aratu,24795.94507
2904100,Boquira,29,natal,26775.53637
2502706,Borborema,25,suape,25588.69224
2502706,Borborema,25,aratu,25362.69197
2502706,Borborema,25,natal,26330.18722
3507407,Borborema,35,suape,25807.94054
3507407,Borborema,35,aratu,23745.5032
3507407,Borborema,35,natal,26735.32398
2904209,Botuporã,29,suape,25565.88124
2904209,Botuporã,29,aratu,24423.30257
2904209,Botuporã,29,natal,26428.73482
2201960,Brasileira,22,suape,29581.25924
2201960,Brasileira,22,aratu,29040.72236
2201960,Brasileira,22,natal,30363.95107
2602407,Brejão,26,suape,24846.15987
2602407,Brejão,26,aratu,24415.52577
2602407,Brejão,26,natal,25620.56033
2401800,Brejinho,24,suape,25806.27309
2401800,Brejinho,24,aratu,25634.91057
2401800,Brejinho,24,natal,26538.48602
2602506,Brejinho,26,suape,26007.60294
2602506,Brejinho,26,aratu,25618.87747
2602506,Brejinho,26,natal,26773.58489
2602605,Brejo da Madre de Deus,26,suape,25209.39323
2602605,Brejo da Madre de Deus,26,aratu,24846.19636
2602605,Brejo da Madre de Deus,26,natal,25973.01865
2502805,Brejo do Cruz,25,suape,26610.0984
2502805,Brejo do Cruz,25,aratu,26261.75537
2502805,Brejo do Cruz,25,natal,27368.8414
2201988,Brejo do Piauí,22,suape,28067.07991
2201988,Brejo do Piauí,22,aratu,27229.26904
2201988,Brejo do Piauí,22,natal,28891.94342
2502904,Brejo dos Santos,25,suape,26735.75786
2502904,Brejo dos Santos,25,aratu,26360.48447
2502904,Brejo dos Santos,25,natal,27498.39559
2302503,Brejo Santo,23,suape,26672.83992
2302503,Brejo Santo,23,aratu,26147.64205
2302503,Brejo Santo,23,natal,27457.72684
2904308,Brejões,29,suape,24370.43698
2904308,Brejões,29,aratu,23431.62662
2904308,Brejões,29,natal,25212.48773
2904407,Brejolândia,29,suape,26670.88609
2904407,Brejolândia,29,aratu,25494.8102
2904407,Brejolândia,29,natal,27535.9793
2904506,Brotas de Macaúbas,29,suape,26234.09303
2904506,Brotas de Macaúbas,29,aratu,25175.25592
2904506,Brotas de Macaúbas,29,natal,27087.22115
2904605,Brumado,29,suape,24791.15651
2904605,Brumado,29,aratu,23647.91893
2904605,Brumado,29,natal,25654.99093
