Código SH4,Descrição do produto exportado,Denominação nesse estudo
4704,"Pastas químicas de madeira, ao bissulfito, exceto pastas para dissolução.",Celulose
4705,Pastas de madeira obtidas por combinação de um tratamento mecânico com um tratamento químico.,Celulose
4706,Pastas de fibras obtidas a partir de papel ou de cartão reciclados (desperdícios e aparas) ou de outras matérias fibrosas celulósicas.,Celulose
4707,Papel ou cartão para reciclar (desperdícios e aparas).,Papel
4801,"Papel jornal, em rolos ou em folhas.",Papel
4802,"Papel e cartão, não revestidos, dos tipos utilizados para escrita, impressão ou outros fins gráficos, e papel e cartão para fabricar cartões ou tiras perfurados, não perfurados, em rolos ou em folhas de forma quadrada ou retangular, de qualquer formato.",Papel
4803,Papel para fabricação de papel higiênico ou de toucador e artigos semelhantes.,Papel
4804,"Papel e cartão Kraft, não revestidos, em rolos ou em folhas, exceto das posições 4802 e 4803.",Papel
4805,"Outros papéis e cartões, não revestidos nem impregnados, em rolos ou em folhas, não tendo sofrido trabalho complementar nem tratamento, exceto os especificados na Nota 3 do presente Capítulo.",Papel
4806,"Papel-pergaminho e cartão-pergaminho (sulfurizados), papel impermeável a gorduras, papel vegetal, papel cristal e outros papéis calandrados transparentes ou translúcidos, em rolos ou em folhas.",Papel
4807,"Papel e cartão obtidos por colagem de folhas sobrepostas, não revestidos na superfície nem impregnados, mesmo reforçados interiormente, em rolos ou em folhas.",Papel
4808,"Papel e cartão canelados (ondulados) (mesmo recobertos por colagem), encrespados, plissados, gofrados, estampados ou perfurados, em rolos ou em folhas, exceto o papel dos tipos descritos no texto da posição 4803.",Papel
4809,"Papel químico (papel carbono), papel autocopiativo e outros papéis para cópia ou duplicação (incluídos os papéis revestidos ou impregnados, para estêncis ou para chapas offset), mesmo impressos, em rolos ou em folhas.",Papel
4810,"Papel e cartão revestidos de caulim ou de outras substâncias inorgânicas numa ou nas duas faces, com ou sem aglutinantes, sem qualquer outro revestimento, mesmo coloridos ou decorados na superfície ou impressos, em rolos ou em folhas.",Papel
4811,"Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos ou decorados na superfície ou impressos, em rolos ou em folhas de forma quadrada ou retangular, de qualquer formato ou dimensão.",Papel
4812,"Blocos e chapas, filtrantes, de pasta de papel.",Papel
4813,"Papel para cigarros, mesmo cortado nas dimensões próprias, em livros ou em tubos.",Papel
4814,Papel de parede e revestimentos de parede semelhantes.,Papel
4816,"Papel químico, papel autocopiativo e outros papéis para cópia ou duplicação (exceto da posição 4809), estêncis completos e chapas offset, de papel, mesmo acondicionados em caixas.",Papel
4817,"Envelopes, aerogramas, bilhetes-postais não ilustrados, cartões e papéis para correspondência, de papel ou cartão.",Papel
4818,"Papel dos tipos utilizados para a fabricação de papéis higiênicos e de toucador e semelhantes, pasta (ouate) de celulose ou mantas de fibras de celulose, dos tipos utilizados para fins domésticos ou sanitários, em rolos de largura não superior a 36 cm ou cortado em dimensão própria.",Papel
4819,"Caixas, sacos, bolsas, cartuchos e outras embalagens, de papel, cartão, pasta (ouate) de celulose ou de mantas de fibras de celulose.",Papel
4820,"Livros de registo e de contabilidade, blocos de notas, de encomendas, de recibos, de apontamentos, de papel para cartas, agendas e artigos semelhantes, cadernos, pastas para documentos, classificadores, capas para encadernação (de folhas soltas ou outras).",Papel
4821,"Etiquetas de qualquer espécie, de papel ou cartão, impressas ou não.",Papel
4822,"Carretéis, bobinas, tubos, canelas e suportes semelhantes, de pasta de papel, papel ou cartão, mesmo perfurados ou endurecidos.",Papel
4823,"Outros papéis, cartões, pasta (ouate) de celulose e mantas de fibras de celulose, cortados em forma própria.",Papel
201,"Carnes de animais da espécie bovina, frescas ou refrigeradas.",Carne Bovina
202,"Carnes de animais da espécie bovina, congeladas.",Carne Bovina
207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105.",Carne de Frango e Miudezas
210,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas.",Carne de Frango e Miudezas
1602,"Outras preparações e conservas de carne, miudezas ou sangue.",Carne de Frango e Miudezas
203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.",Carne Suína
209,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.",Carne Suína
1201,"Soja, mesmo triturada.",Soja em grãos
1507,"Óleo de soja e respectivas frações, mesmo refinados, mas não quimicamente modificados.",Óleo de soja
2304,Tortas e outros resíduos sólidos da extração do óleo de soja.,Farelo de soja
1108,Amidos e féculas.,Coprodutos do milho
1005,Milho.,Milho em grãos
1102,"Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio.",Coprodutos do milho
1103,"Grumos, sêmolas e pellets de cereais.",Coprodutos do milho
1201,"Soja, mesmo triturada.",Milho/Soja em grãos
1507,"Óleo de soja e respectivas frações, mesmo refinados, mas não quimicamente modificados.",Óleo de soja
2304,Tortas e outros resíduos sólidos da extração do óleo de soja.,Farelo/Farinha e Resíduos Sólidos
1108,Amidos e féculas.,Farelo/Farinha e Resíduos Sólidos
1005,Milho,Milho/Soja em Grãos
1102,"Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio.",Farelo/Farinha e Resíduos Sólidos
1103,"Grumos, sêmolas e pellets de cereais.",Farelo/Farinha e Resíduos Sólidos
2009,Suco de laranja,"Sumos de frutas (incluídos os mostos de uvas) ou de produtos hortícolas, não fermentados, sem adição de Álcool, com ou sem adição de açúcar ou de outros edulcorantes"
